022021 6 x0 x1 x1 x0 x1 x0i 
022022 6 x0 x1 x1 x0 x1 x1 
022030 6 x0 x1 x1 x0 x1i x0 
022031 6 x0 x1 x1 x0 x1i x0i 
022033 6 x0 x1 x1 x0 x1i x1i 
022111 6 x0 x1 x1 x0i x0i x0i 
022112 6 x0 x1 x1 x0i x0i x1 
022113 6 x0 x1 x1 x0i x0i x1i 
022120 6 x0 x1 x1 x0i x1 x0 
022121 6 x0 x1 x1 x0i x1 x0i 
022122 6 x0 x1 x1 x0i x1 x1 
022130 6 x0 x1 x1 x0i x1i x0 
022131 6 x0 x1 x1 x0i x1i x0i 
022133 6 x0 x1 x1 x0i x1i x1i 
022200 6 x0 x1 x1 x1 x0 x0 
022202 6 x0 x1 x1 x1 x0 x1 
022203 6 x0 x1 x1 x1 x0 x1i 
022211 6 x0 x1 x1 x1 x0i x0i 
022212 6 x0 x1 x1 x1 x0i x1 
022213 6 x0 x1 x1 x1 x0i x1i 
022220 6 x0 x1 x1 x1 x1 x0 
022221 6 x0 x1 x1 x1 x1 x0i 
022222 6 x0 x1 x1 x1 x1 x1 
030000 6 x0 x1i x0 x0 x0 x0 
030002 6 x0 x1i x0 x0 x0 x1 
030003 6 x0 x1i x0 x0 x0 x1i 
030020 6 x0 x1i x0 x0 x1 x0 
030021 6 x0 x1i x0 x0 x1 x0i 
030022 6 x0 x1i x0 x0 x1 x1 
030030 6 x0 x1i x0 x0 x1i x0 
030033 6 x0 x1i x0 x0 x1i x1i 
030200 6 x0 x1i x0 x1 x0 x0 
030202 6 x0 x1i x0 x1 x0 x1 
030203 6 x0 x1i x0 x1 x0 x1i 
030212 6 x0 x1i x0 x1 x0i x1 
030213 6 x0 x1i x0 x1 x0i x1i 
030220 6 x0 x1i x0 x1 x1 x0 
030221 6 x0 x1i x0 x1 x1 x0i 
030222 6 x0 x1i x0 x1 x1 x1 
030300 6 x0 x1i x0 x1i x0 x0 
030302 6 x0 x1i x0 x1i x0 x1 
030303 6 x0 x1i x0 x1i x0 x1i 
030311 6 x0 x1i x0 x1i x0i x0i 
030312 6 x0 x1i x0 x1i x0i x1 
030313 6 x0 x1i x0 x1i x0i x1i 
030330 6 x0 x1i x0 x1i x1i x0 
030331 6 x0 x1i x0 x1i x1i x0i 
030333 6 x0 x1i x0 x1i x1i x1i 
031111 6 x0 x1i x0i x0i x0i x0i 
031112 6 x0 x1i x0i x0i x0i x1 
031113 6 x0 x1i x0i x0i x0i x1i 
031120 6 x0 x1i x0i x0i x1 x0 
031121 6 x0 x1i x0i x0i x1 x0i 
031122 6 x0 x1i x0i x0i x1 x1 
031130 6 x0 x1i x0i x0i x1i x0 
031131 6 x0 x1i x0i x0i x1i x0i 
031133 6 x0 x1i x0i x0i x1i x1i 
031200 6 x0 x1i x0i x1 x0 x0 
031203 6 x0 x1i x0i x1 x0 x1i 
031211 6 x0 x1i x0i x1 x0i x0i 
031212 6 x0 x1i x0i x1 x0i x1 
031213 6 x0 x1i x0i x1 x0i x1i 
031220 6 x0 x1i x0i x1 x1 x0 
031221 6 x0 x1i x0i x1 x1 x0i 
031222 6 x0 x1i x0i x1 x1 x1 
031300 6 x0 x1i x0i x1i x0 x0 
031303 6 x0 x1i x0i x1i x0 x1i 
031311 6 x0 x1i x0i x1i x0i x0i 
031312 6 x0 x1i x0i x1i x0i x1 
031313 6 x0 x1i x0i x1i x0i x1i 
031330 6 x0 x1i x0i x1i x1i x0 
031331 6 x0 x1i x0i x1i x1i x0i 
